"tokens"	"types"	"partOfSpeech"	"morph"
"544"	"von"	"von"	"APPR"	"d"
"355"	"vorgeben"	"vor#geben"	"VVINF"	"--"
"438"	"Wahl"	"Wahl"	"NN"	"gsf"
"160"	"war"	"sein"	"VAFIN"	"3sit"
"9"	"was"	"was"	"PRELS"	"asn"
"360"	"Weise"	"Weise"	"NN"	"dsf"
"383"	"wenn"	"wenn"	"KOUS"	"--"
"388"	"werden"	"werden%aux"	"VAFIN"	"3pis"
"543"	"Werkes"	"Werk"	"NN"	"gsn"
"165"	"Werner"	"Werner"	"NE"	"gsm"
"81"	"wichtig"	"wichtig"	"ADJD"	"--"
"62"	"wie"	"wie"	"KOKOM"	"--"
"318"	"wie"	"wie"	"PWAV"	"--"
"332"	"wie"	"wie"	"KOKOM"	"--"
"411"	"wie"	"wie"	"KOKOM"	"--"
"553"	"wie"	"wie"	"KOKOM"	"--"
"262"	"wiedergekommen"	"wieder#kommen"	"VVPP"	"--"
"347"	"will"	"wollen"	"VMFIN"	"3sis"
"368"	"will"	"wollen%aux"	"VMFIN"	"3sis"
"538"	"wird"	"werden"	"VAFIN"	"3sis"
"392"	"Wochenende"	"Wochenende"	"NN"	"dsn"
"445"	"Wolfgang"	"Wolfgang"	"NE"	"gsm"
"509"	"Wolpe"	"Wolpe"	"NE"	"nsm"
"188"	"wunderbaren"	"wunderbar"	"ADJA"	"dpm"
"511"	"Younghi"	"Younghi"	"NE"	"nsm"
"554"	"Younghi"	"Younghi"	"NE"	"nsm"
"567"	"Yukiko"	"Yukiko"	"NE"	"dsf"
"66"	"zehn"	"zehn"	"CARD"	"--"
"52"	"zeitgenössische"	"zeitgenössisch"	"ADJA"	"asf"
"194"	"zeitgenössische"	"zeitgenössisch"	"ADJA"	"asf"
"168"	"zeitgenössischer"	"zeitgenössisch"	"ADJA"	"dsf"
"419"	"Zeniuk"	"Zeniuk"	"NE"	"dsm"
"97"	"Ziel"	"Ziel"	"NN"	"dsn"
"48"	"zielstrebig"	"zielstrebig"	"ADJD"	"--"
"533"	"Zimmermann"	"Zimmermann"	"NE"	"nsm"
"86"	"zu"	"zu"	"PTKZU"	"--"
"237"	"zu"	"zu"	"PTKZU"	"--"
"252"	"zu"	"zu"	"APPR"	"d"
"259"	"zu"	"zu"	"APPR"	"d"
"324"	"zu"	"zu"	"PTKZU"	"--"
"404"	"zu"	"zu"	"PTKZU"	"--"
"22"	"zum"	"zu"	"APPRART"	"dsn"
"96"	"zum"	"zu"	"APPRART"	"dsn"
"295"	"zum"	"zu"	"APPRART"	"dsn"
"303"	"zum"	"zu"	"APPRART"	"dsn"
"393"	"zum"	"zu"	"APPRART"	"dsm"
"27"	"Zunächst"	"zunächst"	"ADV"	"--"
"396"	"zwanzig"	"zwanzig"	"CARD"	"--"
"23"	"zwanzigjährigen"	"zwanzigjährig"	"ADJA"	"dsn"
"216"	"Zwecke"	"Zweck"	"NN"	"apm"
"155"	"zwei"	"zwei"	"CARD"	"--"
